"filename", "language", "SCSS", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\rotate\_left.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\rotate\_right.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\rotate\_top.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_bottom.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_horizontal-center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_horizontal-left.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_horizontal-right.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_left.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_right.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_top.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_vertical-bottom.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_vertical-center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-down\_vertical-top.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_bottom.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_horizontal-center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_horizontal-left.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_horizontal-right.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_left.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_right.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_top.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_vertical-bottom.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_vertical-center.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\scale-up\_vertical-top.scss", "SCSS", 13, 0, 0, 0, 0, 1, 14
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\slide\_bottom.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\slide\_left.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\slide\_right.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"c:\Users\outra\Documents\GitHub\animation-libary\partials\basic\slide\_top.scss", "SCSS", 11, 0, 0, 0, 0, 1, 12
"Total", "-", 1276, 2896, 223, 2, 14, 370, 4781
